latency,road,distance,unit,device
64,curve,100,ms,Dragino
64,curve,100,ms,Dragino
64,curve,100,ms,Dragino
64,curve,100,ms,Dragino
64,curve,100,ms,Dragino
64,curve,100,ms,Dragino
64,curve,100,ms,Dragino
64,curve,100,ms,Dragino
64,curve,100,ms,Dragino
65,curve,100,ms,Dragino
66,straight,100,ms,Dragino
65,straight,100,ms,Dragino
65,straight,100,ms,Dragino
65,straight,100,ms,Dragino
65,straight,100,ms,Dragino
65,straight,100,ms,Dragino
65,straight,100,ms,Dragino
65,straight,100,ms,Dragino
65,straight,100,ms,Dragino
65,straight,100,ms,Dragino
65,curve,300,ms,Dragino
64,curve,300,ms,Dragino
64,curve,300,ms,Dragino
64,curve,300,ms,Dragino
64,curve,300,ms,Dragino
64,curve,300,ms,Dragino
64,curve,300,ms,Dragino
64,curve,300,ms,Dragino
64,curve,300,ms,Dragino
64,curve,300,ms,Dragino
65,straight,300,ms,Dragino
64,straight,300,ms,Dragino
64,straight,300,ms,Dragino
64,straight,300,ms,Dragino
64,straight,300,ms,Dragino
64,straight,300,ms,Dragino
64,straight,300,ms,Dragino
65,straight,300,ms,Dragino
64,straight,300,ms,Dragino
64,straight,300,ms,Dragino
64,curve,500,ms,Dragino
64,curve,500,ms,Dragino
64,curve,500,ms,Dragino
64,curve,500,ms,Dragino
64,curve,500,ms,Dragino
64,curve,500,ms,Dragino
65,curve,500,ms,Dragino
64,curve,500,ms,Dragino
64,curve,500,ms,Dragino
64,straight,500,ms,Dragino
65,straight,500,ms,Dragino
64,straight,500,ms,Dragino
64,straight,500,ms,Dragino
64,straight,500,ms,Dragino
65,straight,500,ms,Dragino
65,straight,500,ms,Dragino
65,straight,500,ms,Dragino
65,straight,500,ms,Dragino
65,straight,500,ms,Dragino
2613.316,curve,100,ms,SX1278
2613.376,curve,100,ms,SX1278
2350.956,curve,100,ms,SX1278
0.608,straight,100,ms,SX1278
0.696,straight,100,ms,SX1278
0.804,straight,100,ms,SX1278
2350.992,curve,300,ms,SX1278
5974.032,curve,300,ms,SX1278
2351.236,curve,300,ms,SX1278
2436.172,straight,300,ms,SX1278
2461.26,straight,300,ms,SX1278
2466.3,straight,300,ms,SX1278
9564.22,straight,500,ms,SX1278
12466.592,straight,500,ms,SX1278
35566.404,straight,500,ms,SX1278
