packetId,successCount,RSSI,frequencyError,SNR,road,distance,device
1,14,-97,-1384,8.75,curve,100,Dragino
2,15,-96,-1367,8.5,curve,100,Dragino
3,16,-94,-1367,9,curve,100,Dragino
4,17,-104,-1350,8.25,curve,100,Dragino
5,18,-112,-1317,7.75,curve,100,Dragino
6,19,-94,-1333,8.75,curve,100,Dragino
7,20,-95,-1333,8.5,curve,100,Dragino
8,21,-98,-1333,8.75,curve,100,Dragino
9,22,-101,-1333,9,curve,100,Dragino
10,23,-94,-1300,9,curve,100,Dragino
11,24,-94,-1283,9,curve,100,Dragino
12,25,-92,-1283,9.25,curve,100,Dragino
13,26,-95,-1266,8.75,curve,100,Dragino
14,27,-94,-1266,9.5,curve,100,Dragino
15,28,-95,-1249,8.75,curve,100,Dragino
16,29,-97,-1233,9,curve,100,Dragino
17,30,-95,-1233,8.75,curve,100,Dragino
18,31,-95,-1233,9.25,curve,100,Dragino
19,32,-98,-1199,8.75,curve,100,Dragino
20,33,-99,-1166,8.75,curve,100,Dragino
21,34,-95,-1182,9.25,curve,100,Dragino
22,35,-96,-1199,9.5,curve,100,Dragino
23,36,-95,-1199,8.75,curve,100,Dragino
24,37,-95,-1182,9.25,curve,100,Dragino
25,38,-100,-1182,9,curve,100,Dragino
26,39,-98,-1166,9.25,curve,100,Dragino
27,40,-98,-1166,9.5,curve,100,Dragino
28,41,-96,-1149,9.5,curve,100,Dragino
29,42,-96,-1115,11,curve,100,Dragino
30,43,-98,-1115,9,curve,100,Dragino
31,44,-100,-1098,9.25,curve,100,Dragino
32,45,-100,-1082,9.5,curve,100,Dragino
33,46,-94,-1048,9.25,curve,100,Dragino
34,47,-93,-1065,9.5,curve,100,Dragino
35,48,-95,-1115,11,curve,100,Dragino
36,49,-93,-1132,9.25,curve,100,Dragino
37,50,-93,-1149,9.25,curve,100,Dragino
38,51,-92,-1166,10,curve,100,Dragino
39,52,-93,-1182,9,curve,100,Dragino
40,53,-93,-1166,9.5,curve,100,Dragino
41,54,-90,-1149,9.25,curve,100,Dragino
42,55,-90,-1149,9.5,curve,100,Dragino
43,56,-92,-1132,9,curve,100,Dragino
44,57,-92,-1132,9.25,curve,100,Dragino
45,58,-90,-1115,8,curve,100,Dragino
46,59,-92,-1115,9,curve,100,Dragino
47,60,-102,-1098,9.5,curve,100,Dragino
48,61,-101,-1048,9.25,curve,100,Dragino
49,62,-102,-1015,9.25,curve,100,Dragino
50,63,-103,-998,8.75,curve,100,Dragino
51,64,-94,-1015,9.25,curve,100,Dragino
52,65,-95,-1048,9,curve,100,Dragino
53,66,-96,-1048,9.25,curve,100,Dragino
54,67,-97,-1048,9.5,curve,100,Dragino
55,68,-94,-1048,9.25,curve,100,Dragino
56,69,-95,-1048,8.75,curve,100,Dragino
57,70,-94,-1048,9,curve,100,Dragino
58,71,-95,-1048,9.5,curve,100,Dragino
59,72,-97,-1048,9.25,curve,100,Dragino
60,73,-99,-1015,8.25,curve,100,Dragino
1,76,-112,-645,7.5,curve,300,Dragino
2,77,-115,-645,7,curve,300,Dragino
3,78,-110,-629,8.5,curve,300,Dragino
4,79,-110,-595,8.5,curve,300,Dragino
5,80,-112,-562,7.75,curve,300,Dragino
