device,road,distance,"('RSSI', 'count')","('RSSI', 'mean')","('RSSI', 'std')","('RSSI', 'min')","('RSSI', '25%')","('RSSI', '50%')","('RSSI', '75%')","('RSSI', 'max')","('frequencyError', 'count')","('frequencyError', 'mean')","('frequencyError', 'std')","('frequencyError', 'min')","('frequencyError', '25%')","('frequencyError', '50%')","('frequencyError', '75%')","('frequencyError', 'max')","('SNR', 'count')","('SNR', 'mean')","('SNR', 'std')","('SNR', 'min')","('SNR', '25%')","('SNR', '50%')","('SNR', '75%')","('SNR', 'max')",RSSI_variane,frequencyError_variane,SNR_variane
Dragino,curve,100,60.0,-96.03333333333333,3.822177330792307,-112.0,-98.0,-95.0,-94.0,-90.0,60.0,-1167.5166666666667,106.27618188549206,-1384.0,-1237.0,-1157.5,-1077.75,-998.0,60.0,9.120833333333334,0.5337976880349076,7.75,8.75,9.25,9.25,11.0,14.609039548022611,11294.626836158259,0.284939971751413
Dragino,curve,300,60.0,-111.26666666666667,4.041591676163756,-123.0,-113.0,-110.5,-108.0,-105.0,60.0,-63.36666666666667,368.95909316532436,-645.0,-427.0,-16.5,260.0,478.0,60.0,7.541666666666667,2.5093750769536545,-4.75,7.6875,8.5,8.75,10.0,16.334463276836146,136130.8124293785,6.296963276836159
Dragino,curve,500,51.0,-121.13725490196079,1.4835040659619003,-124.0,-122.0,-121.0,-120.5,-118.0,51.0,247.4313725490196,225.2382964686033,-25.0,41.0,226.0,411.0,713.0,51.0,-0.4803921568627451,2.8835061718569728,-7.25,-2.25,-0.25,1.375,5.0,2.2007843137254914,50732.29019607843,8.314607843137255
Dragino,straight,100,60.0,-98.4,3.8364885074500887,-109.0,-100.25,-98.0,-97.0,-90.0,60.0,27.116666666666667,432.4821184377009,-209.0,-113.0,0.0,75.0,3229.0,60.0,9.191666666666666,0.533549567746932,7.5,9.0,9.25,9.5,10.5,14.718644067796586,187040.78276836162,0.28467514124293813
Dragino,straight,300,60.0,-112.18333333333334,2.7214880442767417,-120.0,-114.0,-112.0,-111.0,-106.0,60.0,438.8333333333333,41.93221594983119,360.0,394.0,444.0,478.0,511.0,60.0,7.254166666666666,1.2651553018713186,3.5,6.5,7.75,8.25,8.75,7.406497175141244,1758.3107344632758,1.6006179378531065
Dragino,straight,500,60.0,-115.08333333333333,3.190513834960357,-123.0,-117.0,-115.0,-113.0,-107.0,60.0,-15.7,51.072663423327974,-109.0,-62.25,8.0,25.0,58.0,60.0,5.378333333333333,2.6961266420657055,-3.25,3.9375,5.875,7.5,10.0,10.17937853107344,2608.4169491525427,7.2690988700564985
SX1278,curve,100,60.0,-96.51666666666667,4.6632049307304415,-106.0,-100.25,-97.0,-93.0,-84.0,60.0,892.2666666666667,62.07373053554032,713.0,830.0,897.0,947.0,981.0,60.0,6.295833333333333,4.36241936127372,-7.25,5.5,8.5,9.0,9.5,21.74548022598873,3853.14802259886,19.030702683615814
SX1278,curve,300,59.0,-109.76271186440678,2.291957325314698,-116.0,-111.0,-110.0,-108.0,-103.0,59.0,1060.6271186440679,21.58056142017206,998.0,1048.0,1065.0,1073.5,1132.0,59.0,0.6186440677966102,3.452059583948109,-8.25,-0.75,1.25,2.875,5.25,5.2530683810636996,465.72063120982347,11.916715371127994
SX1278,curve,500,59.0,-109.38983050847457,2.3268815090124852,-112.0,-111.0,-110.0,-109.0,-99.0,59.0,1042.084745762712,22.17818758770942,998.0,1031.0,1048.0,1048.0,1115.0,59.0,-1.5381355932203389,2.0127896875046516,-7.0,-2.5,-1.5,-0.25,3.5,5.414377556984209,491.87200467562866,4.051322326125073
SX1278,straight,100,60.0,-98.8,6.893376826185887,-113.0,-105.0,-99.5,-91.75,-82.0,60.0,773.2666666666667,28.30156411001778,713.0,763.0,763.0,780.0,830.0,60.0,7.786666666666666,1.831847883058707,-2.75,7.5,8.25,8.75,9.5,47.51864406779648,800.9785310734505,3.355666666666669
SX1278,straight,300,35.0,-110.22857142857143,4.102264183176338,-115.0,-114.0,-108.0,-107.0,-99.0,35.0,761.8285714285714,60.17791548903171,629.0,729.0,763.0,813.0,880.0,35.0,-4.521428571428571,1.9225551974897777,-8.25,-6.125,-4.5,-3.25,-1.25,16.828571428571365,3621.3815126050417,3.6962184873949586
SX1278,straight,500,43.0,-108.97674418604652,3.019684405561545,-113.0,-111.0,-110.0,-107.5,-100.0,43.0,867.1162790697674,37.5627787541043,796.0,847.0,864.0,880.0,964.0,43.0,-2.8488372093023258,3.351056840618895,-8.75,-4.875,-4.0,-1.625,4.25,9.118493909191589,1410.96234772979,11.229581949058694
