speed,unit,road,distance
32000.00,Bps,straight,500
16000.00,Bps,straight,500
16000.00,Bps,straight,500
16000.00,Bps,straight,500
16000.00,Bps,straight,500
32000.00,Bps,straight,500
32000.00,Bps,straight,500
16000.00,Bps,straight,500
16000.00,Bps,straight,500
16000.00,Bps,straight,500
32000.00,Bps,straight,300
16000.00,Bps,straight,300
10666.67,Bps,straight,300
16000.00,Bps,straight,300
32000.00,Bps,straight,300
32000.00,Bps,straight,300
16000.00,Bps,straight,300
16000.00,Bps,straight,300
32000.00,Bps,straight,300
32000.00,Bps,straight,300
32000.00,Bps,curve,300
16000.00,Bps,curve,300
16000.00,Bps,curve,300
32000.00,Bps,curve,300
32000.00,Bps,curve,300
32000.00,Bps,curve,300
16000.00,Bps,curve,300
16000.00,Bps,curve,300
32000.00,Bps,curve,300
32000.00,Bps,curve,300
16000.00,Bps,straight,100
16000.00,Bps,straight,100
32000.00,Bps,straight,100
32000.00,Bps,straight,100
16000.00,Bps,straight,100
16000.00,Bps,straight,100
32000.00,Bps,straight,100
32000.00,Bps,straight,100
16000.00,Bps,straight,100
32000.00,Bps,straight,100
32000.00,Bps,curve,100
32000.00,Bps,curve,100
32000.00,Bps,curve,100
32000.00,Bps,curve,100
16000.00,Bps,curve,100
16000.00,Bps,curve,100
16000.00,Bps,curve,100
32000.00,Bps,curve,100
32000.00,Bps,curve,100
16000.00,Bps,curve,100
