test case id,distance,RSSI,frequency error,SNR,sender,receiver
1,0.25,-127,25,4.75,dragino,dragino
1,0.25,-127,25,4.75,dragino,dragino
1,0.25,-127,8,4.75,dragino,dragino
1,0.25,-127,8,5,dragino,dragino
1,0.25,-126,25,4.75,dragino,dragino
1,0.25,-126,8,5.25,dragino,dragino
1,0.25,-126,25,5,dragino,dragino
1,0.25,-127,8,4.75,dragino,dragino
1,0.25,-122,25,3.75,dragino,dragino
1,0.25,-127,8,5.25,dragino,dragino
1,0.25,-127,25,5,dragino,dragino
1,0.25,-126,8,5.25,dragino,dragino
1,0.25,-127,8,5,dragino,dragino
1,0.25,-127,8,5,dragino,dragino
1,0.25,-126,8,5.25,dragino,dragino
1,0.25,-122,8,4,dragino,dragino
1,0.25,-127,25,4.75,dragino,dragino
1,0.25,-126,8,5.25,dragino,dragino
1,0.25,-126,8,5.25,dragino,dragino
1,0.25,-127,8,5.25,dragino,dragino
2,0.5,-129,92,2.5,dragino,dragino
2,0.5,-129,92,2.5,dragino,dragino
2,0.5,-125,58,0.25,dragino,dragino
2,0.5,-129,92,1.5,dragino,dragino
2,0.5,-129,92,1.5,dragino,dragino
2,0.5,-129,75,1.5,dragino,dragino
2,0.5,-129,75,1.75,dragino,dragino
2,0.5,-129,58,1.75,dragino,dragino
2,0.5,-129,92,2,dragino,dragino
2,0.5,-129,58,2.25,dragino,dragino
2,0.5,-129,58,2.25,dragino,dragino
2,0.5,-129,58,2.25,dragino,dragino
2,0.5,-129,58,2,dragino,dragino
2,0.5,-124,58,1,dragino,dragino
2,0.5,-124,75,0.75,dragino,dragino
2,0.5,-123,58,0.75,dragino,dragino
2,0.5,-129,58,2,dragino,dragino
2,0.5,-129,58,1.75,dragino,dragino
2,0.5,-129,75,1.75,dragino,dragino
2,0.5,-129,75,2.25,dragino,dragino
3,0.75,-132,-25,-7.5,dragino,dragino
3,0.75,-132,-25,-7.75,dragino,dragino
3,0.75,-132,25,-7.25,dragino,dragino
3,0.75,-132,-41,-7.5,dragino,dragino
3,0.75,-132,-41,-8,dragino,dragino
3,0.75,-132,-75,-7.75,dragino,dragino
3,0.75,-126,75,-10,dragino,dragino
3,0.75,-132,25,-8.75,dragino,dragino
3,0.75,-132,41,-7.25,dragino,dragino
3,0.75,-132,41,-7.5,dragino,dragino
3,0.75,-128,41,-9.5,dragino,dragino
3,0.75,-133,92,-7.5,dragino,dragino
3,0.75,-132,25,-6.75,dragino,dragino
3,0.75,-132,-75,-7.75,dragino,dragino
3,0.75,-126,8,-8.75,dragino,dragino
3,0.75,-132,8,-7.75,dragino,dragino
3,0.75,-132,92,-8.5,dragino,dragino
3,0.75,-132,58,-8,dragino,dragino
3,0.75,-127,58,-9.5,dragino,dragino
3,0.75,-132,58,-8.25,dragino,dragino
4,1,-131,75,-6.75,dragino,dragino
4,1,-128,25,-9.25,dragino,dragino
4,1,-125,159,-10.25,dragino,dragino
4,1,-126,25,-9,dragino,dragino
4,1,-132,92,-7.25,dragino,dragino
4,1,-126,5393,-9.75,dragino,dragino
4,1,-132,41,-7.75,dragino,dragino
4,1,-132,209,-8.25,dragino,dragino
4,1,-132,41,-7.75,dragino,dragino
4,1,-128,109,-9.25,dragino,dragino
4,1,-126,25,-9.25,dragino,dragino
4,1,-128,41,-9.25,dragino,dragino
4,1,-133,159,-8.5,dragino,dragino
4,1,-132,-92,-8.25,dragino,dragino
4,1,-128,125,-9,dragino,dragino
4,1,-132,58,-8,dragino,dragino
4,1,-132,176,-7.75,dragino,dragino
4,1,-132,109,-8,dragino,dragino
4,1,-128,41,-8.75,dragino,dragino
4,1,-132,192,-8.75,dragino,dragino
